;factor2
1798;4
1799;3,0833333333
1800;3,6
1801;3,5454545455
1802;3,4545454545
1803;3,4166666667
1804;3,0909090909
1805;3,4166666667
1806;2,5833333333
1807;3
1808;1,4166666667
1809;3,5714285714
1810;3,5
1811;3,75
1812;4
1813;3,75
1814;2,6666666667
1815;3,7272727273
1816;3,75
1817;3,6666666667
1818;3,6666666667
1819;2,2222222222
1820;2,3333333333
1821;2,9166666667
1822;3,25
1823;4
1824;3,8333333333
1825;3,2222222222
1826;3,25
1827;3,4166666667
1828;3,2222222222
1829;3,25
1830;3,9166666667
1831;3,75
1832;2,5
1833;2,1818181818
1834;3,8333333333
1835;3,5833333333
1836;3,1
1837;3
1838;2,5833333333
1839;2
1840;3,75
1841;3,6
1842;3,3333333333
1843;3,8333333333
1844;3,3
1845;2,3333333333
1846;4
1847;3,4166666667
1848;2
1849;2,8333333333
1850;3,5833333333
1851;3,5833333333
1852;1,9166666667
1853;2,8333333333
1854;2,6666666667
1855;2,75
1856;3,0833333333
1857;4
1858;3,75
1859;3,6666666667
1860;3,25
1861;3,5
1862;4
1863;4
1864;3,6666666667
1865;3,9166666667
1866;2,8333333333
1867;2,7272727273
1868;3,4545454545
1869;3,4166666667
1870;3,25
1871;3,8333333333
1872;2,5
1873;3,9090909091
1874;4
1875;3,1111111111
1876;3,7272727273
1877;2,9
1878;3,3
1879;2,1666666667
1880;2,3333333333
1881;3,5
1882;3
1883;3,2857142857
1884;3
1885;2,8181818182
1886;2,5833333333
1887;3,9090909091
1888;2,5
1889;4
1890;2,0833333333
1891;3
1892;3,0909090909
1893;3,1
1894;3,4166666667
1895;2,5
1896;2,9166666667
1897;3,5833333333
1898;2,6666666667
1899;2,875
1900;2,1818181818
1901;3,4545454545
1902;3,1
1903;3
1904;3,0833333333
1905;2,75
1906;4
1907;3,6363636364
1908;2,5
1909;3,25
1910;3,0833333333
1911;2,4166666667
1912;2,4166666667
1913;3,25
1914;4
1915;4
1916;4
1917;2,3333333333
1918;3,4545454545
1919;2,8888888889
1920;3,4166666667
1921;3
1922;2,3636363636
1923;2,9166666667
1924;3,9166666667
1925;2,6666666667
1926;3,8333333333
1927;3,3333333333
1928;2,8888888889
1929;3,75
1930;3,6666666667
1931;3,8333333333
1932;3,75
1933;3,9166666667
1934;3,5
1935;3,5833333333
1936;3,1666666667
1937;3,1666666667
1938;4
1939;4
1940;2,8571428571
1941;3,25
1942;3
1943;3,2222222222
1944;3,8333333333
1945;3,5454545455
1946;4
1947;3,0909090909
1948;3,7
1949;3,75
1950;3,8333333333
1951;3,0909090909
1952;2,5833333333
1953;3,4166666667
1954;3,6666666667
1955;3,3333333333
1956;3
1957;3,8333333333
1958;3,5454545455
1959;3,5
1960;3,8181818182
1961;4
1962;2,7272727273
1963;3,0833333333
1964;2,25
1965;2,4444444444
1966;2,6363636364
1967;2,25
1968;1,6666666667
1969;3,4166666667
1970;4
1971;2,25
1972;1,4545454545
1973;2,5555555556
1974;1,25
1975;3,0833333333
1976;2,1
1977;1,3333333333
1978;1,8333333333
1979;1,3333333333
1980;1,5
1981;1,8181818182
1982;2,25
1983;1,5
1984;1,8
1985;2,25
1986;3,25
1987;2,0833333333
1988;3,25
1989;1,4545454545
1990;1,3636363636
1991;1,5454545455
1992;3,1666666667
1993;3,1
1994;2,7
1995;2,25
1996;2,9166666667
1997;3
1998;3,75
1999;3,8333333333
2000;2,875
2001;3,9
2002;2,4285714286
2003;3,5833333333
2004;2,8888888889
2005;3,4166666667
2006;2,5
2007;4
2008;3,7272727273
2009;4
2010;3,6363636364
2011;2,6363636364
2012;4
2013;3,7272727273
2014;3,4545454545
2015;4
2016;3,2
2017;2,4166666667
2018;2,625
2019;2,6666666667
2020;3,3636363636
2021;2,1666666667
2022;2,7
2023;3,4166666667
2024;2
2025;3,125
2026;2,75
2027;3
2028;2,5833333333
2029;4
2030;3,75
2031;3,5833333333
2032;2,8181818182
2033;3,4545454545
2034;3
2035;3
2036;3,3636363636
2037;3,75
2038;2,5
2039;3,1
2040;2,25
2041;2,7777777778
2042;3,75
2043;3,6666666667
2044;4
2045;2,1818181818
2046;2,9166666667
2047;2,4545454545
2048;3
2049;4
2050;3,3333333333
2051;1,4166666667
2052;3,1818181818
2053;2,2
2054;2,9166666667
2055;2,7272727273
2056;3,8333333333
2057;2,5
2058;1,8888888889
2059;2,4166666667
2060;2,2222222222
2061;2,3333333333
2062;3,25
2063;3,0833333333
2064;3,6363636364
2065;2,5
2066;3,3636363636
2067;3,6666666667
2068;4
2069;3,4
2070;3,6666666667
2071;4
2072;4
2073;3,5833333333
2074;4
2075;3,5
2076;3,3333333333
2077;3,1666666667
2078;3,4166666667
2079;3,8
2080;4
2081;3,7
2082;4
2083;3,2857142857
2084;3,4166666667
2085;4
2086;2,25
2087;2,6666666667
2088;3,2727272727
2089;3,1666666667
2090;2,5833333333
2091;3,3636363636
2092;3,8
2093;4
2094;3,6666666667
2095;4
2096;2,9090909091
2097;3,1666666667
2098;3,9166666667
2099;3,8333333333
2100;2,7777777778
2101;3,4
2102;3,5833333333
2103;4
2104;2,6666666667
2105;2,1666666667
2106;3,5
2107;2,0833333333
2108;3
2109;3,9166666667
2110;3,0833333333
2111;3,6666666667
2112;3
2113;2,7777777778
2114;2,25
2115;2,8
2116;3,75
2117;3,9166666667
2118;3,9166666667
2119;3,75
2120;3,9166666667
2121;2,3333333333
2122;4
2123;3,8571428571
2124;3,4285714286
2125;2,5
2126;4
2127;3,6
2128;2,9166666667
2129;3
2130;3,2222222222
2131;3,5714285714
2132;3,5
2133;3,25
2134;4
2135;3,0909090909
2136;3,0833333333
2137;3,8
2138;3
2139;3,6666666667
2140;3,3333333333
2141;3
2142;2,5
2143;3,4166666667
2144;4
2145;3,8333333333
2146;3,5
2147;3,75
2148;3,5
2149;3,75
2150;3,4166666667
2151;4
2152;3,8181818182
2153;3,8333333333
2154;2
2155;3
2156;4
2157;2,75
2158;3,8333333333
2159;1,5833333333
2160;3,8333333333
2161;4
2162;3
2163;3,4166666667
2164;4
2165;4
2166;4
2167;3,5833333333
2168;4
2169;2,9166666667
2170;3,3333333333
2171;2,8333333333
2172;4
2173;4
2174;3,6666666667
2175;3,6666666667
2176;2,9166666667
2177;3,5
2178;3,75
2179;2,4166666667
2180;3,6666666667
2181;3,6
2182;3,5555555556
2183;3,2727272727
2184;3,6666666667
2185;3,75
2186;2,6
2187;3,75
2188;3,3636363636
2189;3,3333333333
2190;4
2191;3,9166666667
2192;3,7777777778
2193;3,9166666667
2194;3,5
2195;2,5454545455
2196;4
2197;3
2198;2,7777777778
2199;3,6666666667
2200;3,25
2201;3,5
2202;3,5833333333
2203;3,9166666667
2204;4
2205;4
2206;3,1
2207;3,75
2208;3
2209;3,1818181818
2210;2,3636363636
2211;3,8333333333
2212;4
2213;4
2214;4
2215;3,9166666667
2216;3,5
2217;4
2218;2,9
2219;3,6666666667
2220;2,8
2221;3,5454545455
2222;4
2223;2,75
2224;3,0833333333
2225;3,8333333333
2226;4
2227;3,6666666667
2228;4
2229;2,6666666667
2230;2,7272727273
2231;3,9166666667
2232;4
2233;2,8333333333
2234;2,8333333333
2235;2,8
2236;3
2237;3,5
2238;3,8333333333
2239;2,75
2240;4
2241;4
2242;4
2243;3,9090909091
2244;3,375
2245;3,6363636364
2246;3,5454545455
2247;4
2248;3
2249;3,3636363636
2250;3,4545454545
2251;3,6666666667
2252;3,75
2253;3,3333333333
2254;3,875
2255;2,5
2256;2,6666666667
2257;2,5833333333
2258;3,8333333333
2259;3
2260;2,9166666667
2261;2,1666666667
2262;3
2263;2,4545454545
2264;2,8333333333
2265;2,5
2266;3,4166666667
2267;3,75
2268;4
2269;3,0833333333
2270;2,6
2271;3,0833333333
2272;3,6666666667
2273;3,4285714286
2274;4
2275;3,4166666667
2276;4
2277;2,625
2278;4
2279;3,9
2280;3,8333333333
2281;3,7272727273
2282;3,6
2283;3,4166666667
2284;3,25
2285;3,7272727273
2286;3,9166666667
2287;2,8333333333
2288;3,5
2289;3,9
2290;3,5454545455
2291;3,375
2292;3,25
2293;3
2294;3,1666666667
2295;3,8571428571
2296;3,25
2297;3,5
2298;3,5454545455
2299;3,3333333333
2300;3,2
2301;2,8181818182
2302;3,6666666667
2303;3,4285714286
2304;3,5454545455
2305;3,4166666667
2306;3,1666666667
2307;3,5454545455
2308;3
2309;3,4166666667
2310;2,9166666667
2311;3,5
2312;4
2313;2,3333333333
2314;3,25
2315;3,4444444444
2316;2,9090909091
2317;1,375
2318;1,4545454545
2319;2,625
2320;3,5
2321;2,875
2322;2,5
2323;2,5714285714
2324;3,25
2325;3,75
2326;2,75
2327;3,7272727273
2328;2
2329;2,2857142857
2330;3,9166666667
2331;3,9090909091
2332;3,5
2333;3,1111111111
2334;3,4444444444
2335;3
2336;3,3
2337;2,9
2338;2,7777777778
2339;2,6363636364
2340;3
2341;3,9090909091
2342;4
2343;3
2344;3
2345;4
2346;2,875
2347;3,1428571429
2348;4
2349;1,5833333333
2350;3,25
2351;2,6666666667
2352;1,5555555556
2353;2,5454545455
2354;2,9166666667
2355;3,75
2356;3,9166666667
2357;3,3636363636
2358;3,5833333333
2359;3
2360;3
2361;3,3333333333
2362;3
2363;3
2364;3,8181818182
2365;4
2366;3,25
2367;3,6666666667
2368;3,7272727273
2369;3,625
2370;2,75
2371;4
2372;3,25
2373;3,1666666667
2374;3,6666666667
2375;3,3333333333
2376;3,8888888889
2377;3,9166666667
2378;2,9
2379;2,7
2380;4
2381;3
2382;2,4166666667
2383;3,8333333333
2384;3,1
2385;3,3636363636
2386;4
2387;2,8181818182
2388;2,5833333333
2389;3,5454545455
2390;3,5833333333
2391;4
2392;3,7777777778
2393;3,5833333333
2394;3,6666666667
2395;3,5833333333
2396;2,8333333333
2397;4
2398;3,6
2399;2,75
2400;3,6666666667
2401;3,5714285714
2402;3,2727272727
2403;3,1111111111
2404;3,9090909091
2405;3,5833333333
2406;2,8888888889
2407;3,3333333333
2408;1,4545454545
2409;3,8181818182
2410;3,5
2411;1,9166666667
2412;3,6666666667
2413;3,5833333333
2414;4
2415;2,6666666667
2416;3,8333333333
2417;3,0909090909
2418;2,3636363636
2419;3,4444444444
2420;2,625
2421;3,1111111111
2422;1,7272727273
2423;3
2424;3,25
2425;2
2426;3,75
2427;3,1
2428;3,75
2429;3,5833333333
2430;3,2727272727
2431;3,1
2432;3,7272727273
2433;3
2434;4
2435;3
2436;2,9
2437;2,8571428571
2438;4
2439;3,9166666667
2440;2,6666666667
2441;3,6666666667
2442;3
2443;2,25
2444;2,9
2445;3,875
2446;3,7
2447;3
2448;2,6363636364
2449;3,8333333333
2450;2,1818181818
2451;2,9166666667
2452;2,5
2453;2,3333333333
2454;3,875
2455;2,5
2456;3,2222222222
2457;3,2857142857
2458;3,3333333333
2459;2,625
2460;3
2461;3,4166666667
2462;3,5
2463;2,1666666667
2464;2,75
2465;2,0833333333
2466;2,3333333333
2467;3,9
2468;3
2469;3,6666666667
2470;3,5
2471;3,25
2472;2,4
2473;3
2474;3,25
2475;2,9166666667
2476;2,6
2477;3,4285714286
2478;3,375
2479;3,75
2480;3,5555555556
2481;3,4166666667
2482;2,5
2483;3,5555555556
2484;3,2
2485;3,25
2486;3
2487;3,25
2488;3,5833333333
2489;3,8333333333
2490;3,7
2491;2,8
2492;3,9
2493;3,4545454545
2494;3,25
2495;3,5454545455
2496;3,7272727273
2497;3,0833333333
2498;3,3636363636
2499;3,6666666667
2500;2,6363636364
2501;2,5
2502;3,5
2503;3,5454545455
2504;3
2505;3,2222222222
2506;3,5454545455
2507;2,7777777778
2508;4
2509;1,5
2510;3
2511;1,9
2512;2,6666666667
2513;3,8181818182
2514;3,5833333333
2515;3,25
2516;2,6
2517;1,25
2518;1,3333333333
2519;1,3333333333
2520;2,625
2521;3,3
2522;2,8333333333
2523;3,0909090909
2524;3,5
2525;3,6666666667
2526;3,6363636364
2527;2,5714285714
2528;2,375
2529;3,4285714286
2530;2,7272727273
2531;2,7777777778
2532;2,4166666667
2533;2,6363636364
2534;2,8571428571
2535;3,5714285714
2536;3,6666666667
2537;2,5833333333
2538;3,5
2539;3,6666666667
2540;3,75
2541;3,75
2542;2,9166666667
2543;3,8333333333
2544;3,3636363636
2545;2,8333333333
2546;3,1666666667
2547;3,8333333333
2548;2,8888888889
2549;2,8181818182
2550;3,4166666667
2551;2,2727272727
2552;3,3636363636
2553;4
2554;3,4444444444
2555;3,5
2556;3,4285714286
2557;3,3333333333
2558;3,2
2559;3
2560;2,7272727273
2561;3,6666666667
2562;3,4166666667
2563;3
2564;4
2565;3,3636363636
2566;2,8181818182
2567;3,75
2568;2,625
2569;2,2222222222
2570;3,75
2571;4
2572;3,2727272727
2573;2,75
2574;3,3333333333
2575;3,0833333333
2576;3,8333333333
2577;3,7272727273
2578;3,3333333333
2579;2,75
