"";"PC1";"PC3";"PC2"
"182";NA;NA;NA
"183";NA;NA;NA
"184";NA;NA;NA
"185";NA;NA;NA
"186";0,735323376518101;1,21124277817067;0,155244976703724
"187";1,26356097542974;1,09622102365622;0,934670958638827
"188";0,420997285350274;0,608075712548248;0,759279882587849
"189";0,232771945454045;1,50360389794022;0,81764769827558
"190";NA;NA;NA
"191";NA;NA;NA
"192";1,32598155218343;-0,0756659040362021;-0,252617326120996
"193";0,75743811786838;1,30791407454828;0,677389235143356
"194";1,19087611311276;0,263188010192591;1,36446103964635
"195";NA;NA;NA
"196";NA;NA;NA
"197";0,280811152974062;-0,432504723064296;-0,499345372955989
"198";NA;NA;NA
"199";NA;NA;NA
"200";NA;NA;NA
"201";NA;NA;NA
"202";1,29006711115601;1,05743710382446;1,26821593599369
"203";NA;NA;NA
"204";-0,766871540035106;0,482103651217161;-0,406707739096712
"205";NA;NA;NA
"206";0,65328139656805;1,10059375746405;1,0863982258102
"207";NA;NA;NA
"208";NA;NA;NA
"209";NA;NA;NA
"210";-0,164493947132718;-0,392969321753974;-0,245990302756808
"211";1,16425398852552;-1,39949193556756;-0,909319782158872
"212";0,679696292512937;0,231322625605098;1,25542830736292
"213";NA;NA;NA
"214";NA;NA;NA
"215";NA;NA;NA
"216";NA;NA;NA
"217";0,289285025036589;-0,035844700710349;0,0848097412607022
"218";NA;NA;NA
"219";NA;NA;NA
"220";NA;NA;NA
"221";NA;NA;NA
"222";0,135602279204086;0,217867893177745;-2,22011588632281
"223";NA;NA;NA
"224";NA;NA;NA
"225";NA;NA;NA
"226";NA;NA;NA
"227";NA;NA;NA
"228";NA;NA;NA
"229";0,214014896223873;-0,231416746468388;-0,17327068085069
"230";NA;NA;NA
"231";-0,784926493914323;0,830255696122924;-0,851638609077914
"232";NA;NA;NA
"233";NA;NA;NA
"234";NA;NA;NA
"235";-1,2859864966895;-0,59009596834837;-0,374708163040001
"236";-1,06708032227208;-0,440216404692234;-0,369805806518638
"237";NA;NA;NA
"238";NA;NA;NA
"239";0,0988378842080377;-0,426931316194959;-0,468642032890479
"240";NA;NA;NA
"241";NA;NA;NA
"242";NA;NA;NA
"243";NA;NA;NA
"244";-1,11657576576795;0,261223192523513;-1,54057449591459
"245";NA;NA;NA
"246";-0,14011715995288;-0,15235886122242;-0,359509118360185
"247";-0,717681176156863;-0,604747935409341;-1,06675635960466
"248";1,16120184325221;0,755497905805845;-0,0962729805815177
"249";NA;NA;NA
"250";0,975201069973429;1,2392706877388;0,835785552981768
"251";0,509739174972229;0,988160038510937;0,822675998006706
"252";-1,22053205106727;-0,327419406040841;-0,215171188937088
"253";NA;NA;NA
"254";NA;NA;NA
