"";"V1"
"242";-1,18379547049395
"243";0,661659679741456
"244";0,661659679741456
"245";-1,18379547049395
"246";0,661659679741456
"247";-0,261067895376249
"248";1,58438725485916
"249";-0,261067895376249
"250";-1,18379547049395
"251";0,661659679741456
"252";1,58438725485916
"253";-1,18379547049395
"254";-0,261067895376249
"255";0,661659679741456
"256";0,661659679741456
"257";-0,261067895376249
"258";-0,261067895376249
"259";1,58438725485916
"260";-0,261067895376249
"261";1,58438725485916
"262";1,58438725485916
"263";-0,261067895376249
"264";1,58438725485916
"265";-1,18379547049395
"266";-0,261067895376249
"267";0,661659679741456
"268";-1,18379547049395
"269";-0,261067895376249
"270";-0,261067895376249
"271";-1,18379547049395
"272";0,661659679741456
"273";-1,18379547049395
"274";0,661659679741456
"275";-0,261067895376249
"276";-0,261067895376249
"277";-0,261067895376249
"278";-0,261067895376249
"279";0,661659679741456
"280";-1,18379547049395
"281";-0,261067895376249
"282";-0,261067895376249
"283";0,661659679741456
"284";-0,261067895376249
"285";0,661659679741456
"286";1,58438725485916
"287";1,58438725485916
"288";-1,18379547049395
"289";1,58438725485916
"290";0,661659679741456
"291";-0,261067895376249
"292";1,58438725485916
"293";0,661659679741456
"294";1,58438725485916
"295";0,661659679741456
"296";1,58438725485916
"297";0,661659679741456
"298";0,661659679741456
"299";-1,18379547049395
"300";-1,18379547049395
"301";0,661659679741456
"302";1,58438725485916
"303";0,661659679741456
"304";-0,261067895376249
"305";-0,261067895376249
"306";0,661659679741456
"307";-1,18379547049395
"308";1,58438725485916
"309";0,661659679741456
"310";0,661659679741456
"311";-1,18379547049395
"312";0,661659679741456
"313";1,58438725485916
"314";1,58438725485916
"315";-0,261067895376249
"316";-0,261067895376249
"317";1,58438725485916
"318";-0,261067895376249
"319";0,661659679741456
"320";1,58438725485916
"321";0,661659679741456
"322";1,58438725485916
"323";1,58438725485916
"324";0,661659679741456
"325";-0,261067895376249
"326";1,58438725485916
"327";1,58438725485916
"328";0,661659679741456
"329";-1,18379547049395
"330";-0,261067895376249
"331";-1,18379547049395
"332";-1,18379547049395
"333";-0,261067895376249
"334";0,661659679741456
"335";0,661659679741456
"336";0,661659679741456
"337";-0,261067895376249
"338";-1,18379547049395
"339";-0,261067895376249
"340";0,661659679741456
"341";-1,18379547049395
"342";0,661659679741456
"343";-0,261067895376249
"344";0,661659679741456
"345";1,58438725485916
"346";-0,261067895376249
"347";-1,18379547049395
"348";1,58438725485916
"349";1,58438725485916
"350";-0,261067895376249
"351";-1,18379547049395
"352";-0,261067895376249
"353";0,661659679741456
"354";0,661659679741456
"355";0,661659679741456
"356";-1,18379547049395
"357";-0,261067895376249
"358";-1,18379547049395
"359";-0,261067895376249
"360";-0,261067895376249
"361";0,661659679741456
"362";0,661659679741456
"363";-1,18379547049395
"364";0,661659679741456
"365";0,661659679741456
"366";0,661659679741456
"367";1,58438725485916
"368";1,58438725485916
"369";1,58438725485916
"370";0,661659679741456
"371";1,58438725485916
"372";-0,261067895376249
"373";-1,18379547049395
"374";0,661659679741456
"375";1,58438725485916
"376";-1,18379547049395
"377";-1,18379547049395
"378";-1,18379547049395
"379";-0,261067895376249
"380";1,58438725485916
