gespr8.1;anspr8.2;ofohr8.3;austs8.4;infrm8.5;etwgs8.6;ptner8.7;ausef8.8;auflt8.9;mitw8.10;eamt8.11;hosp8.12;pdar8.13;eins8.14;besw8.15;ents8.16;eazf8.17;ifpd8.18;betl8.19;gsmt8.20;Kitadauer;Alter;Austausch;Beteiligung
2;2;4;3;2;2;1;1;2;NA;NA;3;2;1;NA;1;3;2;2;2;4;5;1,75;2,2222222222
2;4;4;3;3;3;1;1;3;4;4;4;4;4;3;4;4;4;4;4;1;2;2,6666666667;3,8333333333
2;3;3;3;3;4;2;3;2;3;4;3;3;NA;NA;NA;4;4;4;2;4;5;2,8571428571;3,3333333333
3;3;4;4;3;4;2;NA;3;4;4;NA;4;NA;4;4;4;4;4;4;2;4;3,2857142857;3,9
4;4;4;4;4;4;3;4;3;3;NA;NA;4;4;4;4;4;3;3;4;1;2;3,8888888889;3,6
3;4;4;4;3;4;3;3;4;4;4;4;4;4;4;3;3;3;4;2;2;3;3,5555555556;3,75
3;3;3;3;3;NA;3;NA;2;NA;NA;NA;2;2;NA;3;3;3;NA;2;1;2;2,8333333333;2,5714285714
2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;3;2,8888888889;3
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4
3;3;3;3;2;3;2;2;3;NA;NA;NA;3;NA;3;4;3;NA;3;2;2;3;2,625;3,1428571429
3;3;3;3;3;2;NA;NA;3;3;3;NA;3;NA;3;3;3;3;3;2;4;5;2,8333333333;3
4;4;4;4;4;4;2;4;4;4;4;4;4;3;4;4;4;4;4;4;1;3;3,6666666667;3,9166666667
3;4;4;4;3;NA;2;NA;3;4;4;4;4;3;3;3;3;3;4;4;3;4;3,1428571429;3,5
2;2;4;3;2;3;2;1;3;NA;NA;3;2;2;NA;NA;NA;3;NA;NA;1;5;2,125;2,8333333333
3;3;1;3;2;3;1;1;2;1;2;2;3;1;2;1;2;2;3;1;3;5;2,1111111111;1,8333333333
3;3;4;4;3;3;3;3;1;4;4;4;4;2;4;4;4;2;4;4;3;4;3,1111111111;3,4166666667
3;3;3;4;3;NA;3;NA;4;3;4;NA;2;NA;NA;NA;2;NA;NA;2;1;2;3,2;3
4;4;4;4;3;3;2;2;3;2;3;4;3;2;3;1;2;3;3;2;3;5;3;2,75
3;3;3;4;3;4;4;3;4;3;3;4;4;3;3;3;4;4;4;4;3;3;3,3333333333;3,5
3;4;NA;4;3;NA;3;3;3;3;3;NA;3;3;4;4;2;2;NA;2;1;2;3,375;3
3;3;3;3;2;3;1;1;2;3;NA;3;4;2;NA;3;3;3;4;4;2;4;2,25;3
4;4;4;4;4;3;3;3;4;3;3;4;4;4;4;4;4;3;4;4;3;4;3,6666666667;3,75
3;4;4;4;3;NA;1;1;4;4;2;NA;3;2;NA;NA;3;3;3;2;3;4;2,5714285714;3,1111111111
3;4;4;4;3;2;2;1;3;4;4;4;2;3;3;2;3;3;4;2;3;5;2,7777777778;3,25
4;4;4;4;2;4;2;NA;3;3;3;3;3;NA;3;3;NA;NA;NA;2;2;6;3,2857142857;3,125
4;4;4;4;4;NA;3;NA;3;3;3;NA;4;3;3;NA;3;3;3;2;2;4;3,5714285714;3,2
4;4;NA;4;4;NA;4;4;4;4;NA;NA;4;NA;NA;4;NA;NA;NA;4;1;2;4;4
4;4;4;4;4;4;3;3;4;4;3;4;4;4;4;3;4;4;4;4;2;5;3,7777777778;3,8333333333
4;3;3;4;3;4;3;3;4;4;4;4;2;2;3;2;3;2;4;2;2;3;3,2222222222;3,0833333333
2;2;3;2;1;1;1;2;3;2;2;3;2;3;3;3;2;2;2;2;3;5;1,8888888889;2,5
2;3;3;4;3;4;3;4;4;3;4;1;3;3;3;4;NA;NA;NA;2;2;3;3,2222222222;3,1111111111
2;2;2;2;2;1;1;1;4;2;2;2;1;2;1;2;3;3;3;2;2;5;1,5555555556;2,25
3;2;3;2;2;NA;3;2;4;2;2;2;2;2;NA;4;NA;3;3;2;3;4;2,2857142857;2,7
4;4;3;4;4;NA;4;3;4;NA;3;NA;NA;NA;3;NA;3;3;3;2;3;4;3,7142857143;3,1428571429
3;3;4;2;1;2;3;3;3;NA;3;NA;3;NA;3;2;NA;NA;2;4;3;5;2,5;2,8571428571
3;4;4;4;3;4;3;2;3;4;4;4;3;2;3;3;4;4;4;4;1;2;3,1111111111;3,5
4;4;3;4;3;3;4;4;4;3;3;NA;4;NA;4;3;4;4;3;4;2;5;3,75;3,5
3;3;3;3;2;NA;NA;2;4;NA;3;4;3;NA;3;NA;3;3;3;4;1;2;2,6666666667;3,2222222222
3;4;4;3;3;4;4;3;3;4;4;4;4;NA;4;3;3;3;4;4;3;4;3,5;3,6363636364
4;4;NA;3;3;3;3;3;3;NA;NA;NA;NA;NA;3;3;3;NA;NA;2;1;2;3,25;3
1;1;1;1;1;1;1;1;1;4;4;3;1;1;1;1;NA;NA;NA;2;1;3;1;1,8888888889
4;4;4;4;4;3;3;4;4;NA;NA;NA;3;3;4;4;NA;NA;NA;4;1;2;3,6666666667;3,6666666667
3;3;3;1;3;1;3;2;3;3;3;3;3;2;3;3;3;3;4;4;2;2;2,3333333333;3
3;2;3;3;3;4;4;3;4;4;3;NA;4;NA;4;NA;4;4;4;4;3;4;3,25;3,7777777778
3;4;4;4;2;NA;2;2;4;3;3;3;3;3;3;3;3;4;3;2;3;4;2,875;3,25
2;2;2;2;1;1;2;1;3;1;2;2;1;1;1;1;2;2;2;2;2;3;1,4444444444;1,6666666667
3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;1;2;3,7777777778;3,9166666667
3;3;3;3;2;NA;4;NA;3;3;4;NA;3;NA;NA;3;3;3;3;2;1;4;3;3,1111111111
4;4;4;4;4;NA;3;3;3;4;4;NA;3;3;3;3;4;4;4;4;2;4;3,5;3,5454545455
3;3;3;3;3;3;3;3;3;4;4;3;4;4;4;4;4;4;4;4;1;2;3,2222222222;3,75
2;3;NA;3;2;NA;1;1;3;NA;4;2;NA;2;3;NA;NA;NA;NA;2;1;2;2,125;2,8
3;3;3;3;3;NA;2;3;3;3;3;NA;3;3;NA;NA;NA;NA;NA;2;1;5;2,8571428571;3
3;3;3;3;3;3;2;NA;3;3;3;3;3;NA;3;3;3;3;3;4;1;2;2,8571428571;3
